Timestamp,"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Blazor / C#]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Rust]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [C++ / Emscripten]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Go / TinyGo]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [AssemblyScript]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Grain]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Python]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Zig]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Blazor / C#],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Rust],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [C++ / Emscripten],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Go / TinyGo],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [AssemblyScript],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Grain],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Python],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Zig],Your Current Usage - what are you using WebAssembly for at the moment?,Future impact - where do you think WebAssembly will have the most impact in the future? [Web development],Future impact - where do you think WebAssembly will have the most impact in the future? [Blockchain],Future impact - where do you think WebAssembly will have the most impact in the future? [Internet of Things],Future impact - where do you think WebAssembly will have the most impact in the future? [Serverless],Future impact - where do you think WebAssembly will have the most impact in the future? [Containerisation],Future impact - where do you think WebAssembly will have the most impact in the future? [Game Development],Future impact - where do you think WebAssembly will have the most impact in the future? [Scientific],Future impact - where do you think WebAssembly will have the most impact in the future? [Cryptography],Future impact - where do you think WebAssembly will have the most impact in the future? [Audio / Video Processing],Future impact - where do you think WebAssembly will have the most impact in the future? [Artificial Intelligence],Future features - what future WebAssembly features are you interested in? [SIMD],Future features - what future WebAssembly features are you interested in? [Garbage Collection],Future features - what future WebAssembly features are you interested in? [ECMAScript module integration],Future features - what future WebAssembly features are you interested in? [Threads],Future features - what future WebAssembly features are you interested in? [Interface Types],Future features - what future WebAssembly features are you interested in? [Module Linking],Future features - what future WebAssembly features are you interested in? [Exception handling],Future features - what future WebAssembly features are you interested in? [WASI - WebAssembly System Interface],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better build tooling],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better debugging support],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [A greater breadth of supported languages],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [A stronger and more inclusive community],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better integration with JavaScript and browser APIs],Job Role - what most closely describes your role?,JavaScript Proficiency - how proficient are you at JavaScript?,WebAssembly Proficiency - how proficient are you at WebAssembly?,WebAssembly Experience - how long have you used or known about WebAssembly for?,Back-end Proficiency - how proficient are you at back-end development?,Industry Sector - which industry sector(s) do you work in?,Your Country or Region - where do you call home?,Current Language Usage - are there any other languages not listed about that you use?,,,Desired Usage - are there any other languages not listed about that you want to use?,"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Swift]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Swift],"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Java]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Java]
6/14/2021 9:37:42,not used,use frequently,not used,not used,have used occasionally,not used,not used,not used,want to use a little,want to use a lot,want to use a little,don’t want to use,want to use a lot,not heard of it,don’t want to use,want to use a lot,Game Development,very high impact,very high impact,some impact,very high impact,very high impact,very high impact,some impact,some impact,some impact,low impact,no interest,modest interest,modest interest,modest interest,very interested,modest interest,modest interest,modest interest,really needs this,really needs this,needs this,needs this,needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Healthcare,Australia,,,,,,,,
6/14/2021 9:40:12,not used,use sometimes,not used,not used,have used occasionally,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,want to use a little,not heard of it,don’t want to use,want to use a little,"Web development, Game Development",very high impact,Don't know :shrug:,Don't know :shrug:,some impact,Don't know :shrug:,very high impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,modest interest,modest interest,very interested,very interested,modest interest,very interested,no interest,very interested,really needs this,needs this,needs this,doesn’t need this,needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",5+ years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,United States,,,,,,,,
6/14/2021 9:53:50,not used,not used,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,want to use a little,want to use a lot,not heard of it,don’t want to use,not heard of it,Web development,some impact,very high impact,very high impact,very high impact,some impact,very high impact,very high impact,very high impact,very high impact,very high impact,very interested,very interested,very interested,very interested,very interested,very interested,very interested,very interested,doesn’t need this,needs this,doesn’t need this,needs this,really needs this,"Developer, front-end",Architecturing entire front-end codebases from scratch,"I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",2 years,"Able to develop apps using pre-existing frameworks (Rails, Laravel, etc.)",Real Estate,France,,,,,,,,
6/14/2021 9:57:22,not used,use sometimes,not used,not used,not used,not used,not used,not used,want to use a little,want to use a lot,want to use a little,want to use a little,want to use a little,want to use a little,want to use a little,want to use a little,Web development,very high impact,very high impact,very high impact,Don't know :shrug:,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very interested,modest interest,modest interest,very interested,very interested,modest interest,modest interest,very interested,really needs this,really needs this,really needs this,really needs this,really needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,India,,,,,,,,
6/14/2021 10:01:39,not used,use sometimes,use sometimes,use frequently,use frequently,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,want to use a lot,want to use a lot,not heard of it,want to use a little,want to use a little,"Internet of Things, Containerisation, Game Development, Scientific",very high impact,some impact,some impact,some impact,some impact,low impact,low impact,Don't know :shrug:,low impact,low impact,very interested,very interested,modest interest,very interested,modest interest,modest interest,very interested,very interested,needs this,really needs this,doesn’t need this,needs this,doesn’t need this,Product manager,"Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I’ve created advanced WebAssembly tooling (compilers, analyzers)",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,Ukraine,,,,,,,,
6/14/2021 10:03:16,not used,not used,use sometimes,not used,use frequently,not used,not used,not used,want to use a lot,don’t want to use,don’t want to use,want to use a little,want to use a lot,don’t want to use,don’t want to use,don’t want to use,"Web development, Game Development, Cryptography, Audio / Video Processing",very high impact,some impact,low impact,low impact,low impact,very high impact,some impact,some impact,some impact,low impact,no interest,modest interest,very interested,modest interest,very interested,modest interest,modest interest,no interest,doesn’t need this,needs this,really needs this,needs this,really needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Entertainment,,,,,,,,,
6/14/2021 10:17:08,not used,not used,not used,have used occasionally,have used occasionally,not used,not used,not used,want to use a lot,want to use a lot,don’t want to use,want to use a little,want to use a lot,don’t want to use,don’t want to use,want to use a little,"Web development, Containerisation",very high impact,some impact,very high impact,very high impact,very high impact,some impact,some impact,some impact,very high impact,some impact,very interested,very interested,no interest,very interested,very interested,very interested,very interested,very interested,needs this,needs this,doesn’t need this,needs this,needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,Austria,,,,,,,,
6/14/2021 10:21:40,not used,not used,not used,not used,not used,not used,not used,not used,want to use a little,want to use a lot,want to use a lot,want to use a lot,don’t want to use,not heard of it,want to use a lot,want to use a lot,"Web development, Scientific, Compiler development",very high impact,Don't know :shrug:,very high impact,Don't know :shrug:,very high impact,very high impact,low impact,low impact,some impact,very high impact,very interested,very interested,modest interest,very interested,very interested,modest interest,modest interest,very interested,really needs this,really needs this,needs this,really needs this,really needs this,Academic researcher,"Writing short, simple JavaScript or jQuery statements","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,Not able to handle any back-end work,Programming & Technical Tools,India,,,,,,,,
6/14/2021 10:45:40,not used,not used,use frequently,not used,not used,not used,not used,use sometimes,don’t want to use,want to use a little,want to use a lot,don’t want to use,want to use a little,don’t want to use,don’t want to use,want to use a lot,"Web development, Game Development, Audio / Video Processing",very high impact,Don't know :shrug:,Don't know :shrug:,very high impact,very high impact,very high impact,Don't know :shrug:,Don't know :shrug:,very high impact,Don't know :shrug:,very interested,no interest,modest interest,very interested,very interested,modest interest,no interest,very interested,needs this,really needs this,needs this,doesn’t need this,really needs this,"Developer, game or graphics","Writing short, simple JavaScript or jQuery statements","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",5+ years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Entertainment,Germany,,,,,,,,
6/14/2021 10:58:30,use frequently,not used,use frequently,not used,not used,not used,not used,not used,want to use a lot,not heard of it,want to use a lot,not heard of it,not heard of it,not heard of it,not heard of it,not heard of it,Game Development,some impact,Don't know :shrug:,some impact,Don't know :shrug:,very high impact,very high impact,some impact,some impact,very high impact,some impact,very interested,very interested,don’t know what it is :shrug:,very interested,don’t know what it is :shrug:,modest interest,very interested,modest interest,really needs this,really needs this,needs this,needs this,doesn’t need this,"Developer, game or graphics","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",5+ years,Not able to handle any back-end work,Programming & Technical Tools,Germany,,,,,,,,
6/14/2021 11:04:57,not used,not used,not used,not used,not used,not used,not used,not used,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,Game Development,low impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,low impact,low impact,low impact,Don't know :shrug:,low impact,Don't know :shrug:,no interest,no interest,no interest,no interest,no interest,no interest,no interest,no interest,doesn’t need this,doesn’t need this,doesn’t need this,doesn’t need this,doesn’t need this,Engineering manager,"Handling advanced front-end patterns (state management, data loading, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",3 years,"Able to develop apps using pre-existing frameworks (Rails, Laravel, etc.)",Entertainment,Ireland {Republic},,,,,,,,
6/14/2021 11:43:59,not used,use sometimes,use frequently,not used,not used,not used,not used,not used,not heard of it,want to use a lot,want to use a lot,not heard of it,not heard of it,not heard of it,not heard of it,not heard of it,Web development,very high impact,low impact,low impact,low impact,very high impact,low impact,low impact,low impact,some impact,some impact,very interested,no interest,very interested,very interested,no interest,very interested,no interest,no interest,needs this,really needs this,doesn’t need this,doesn’t need this,doesn’t need this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",4 years,Able to handle complex multi-server or microservices architectures,Entertainment,France,,,,,,,,
6/14/2021 12:01:34,not used,use sometimes,have used occasionally,not used,not used,not used,not used,not used,not heard of it,want to use a little,want to use a little,don’t want to use,not heard of it,not heard of it,want to use a little,want to use a lot,"Web development, Game Development, Audio / Video Processing",very high impact,low impact,low impact,Don't know :shrug:,low impact,very high impact,some impact,some impact,very high impact,some impact,very interested,no interest,very interested,very interested,modest interest,modest interest,modest interest,no interest,really needs this,needs this,really needs this,needs this,really needs this,"Developer, full-stack","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",5+ years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,France,,,,,,,,
6/14/2021 12:15:59,not used,have used occasionally,use frequently,use sometimes,not used,not used,have used occasionally,not used,don’t want to use,don’t want to use,want to use a lot,want to use a little,not heard of it,not heard of it,don’t want to use,don’t want to use,Game Development,low impact,low impact,low impact,low impact,low impact,very high impact,some impact,low impact,low impact,low impact,very interested,no interest,no interest,very interested,modest interest,very interested,no interest,no interest,really needs this,really needs this,really needs this,really needs this,doesn’t need this,"Developer, game or graphics","Writing short, simple JavaScript or jQuery statements","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,Not able to handle any back-end work,Entertainment,United States,,,,,,,,
6/14/2021 12:41:48,not used,use sometimes,not used,not used,have used occasionally,not used,not used,use frequently,want to use a little,want to use a little,want to use a little,want to use a lot,want to use a lot,don’t want to use,don’t want to use,want to use a lot,Game Development,some impact,Don't know :shrug:,Don't know :shrug:,some impact,some impact,very high impact,Don't know :shrug:,Don't know :shrug:,some impact,low impact,modest interest,modest interest,modest interest,modest interest,very interested,modest interest,modest interest,modest interest,needs this,needs this,doesn’t need this,needs this,really needs this,"Developer, game or graphics",Architecturing entire front-end codebases from scratch,"I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Government,Germany,,,,,,,,
6/14/2021 13:04:05,not used,use sometimes,have used occasionally,not used,not used,not used,not used,use sometimes,don’t want to use,don’t want to use,don’t want to use,want to use a little,not heard of it,not heard of it,don’t want to use,want to use a lot,Web development,very high impact,low impact,low impact,some impact,some impact,some impact,some impact,low impact,some impact,low impact,very interested,modest interest,modest interest,modest interest,modest interest,modest interest,modest interest,very interested,needs this,needs this,needs this,doesn’t need this,really needs this,"Developer, full-stack","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,United Kingdom,,,,,,,,
6/14/2021 13:25:26,not used,use frequently,not used,use sometimes,use sometimes,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,want to use a lot,want to use a lot,not heard of it,don’t want to use,want to use a lot,"Internet of Things, Serverless, Containerisation, Game Development",some impact,low impact,very high impact,very high impact,low impact,low impact,low impact,some impact,very high impact,some impact,don’t know what it is :shrug:,no interest,modest interest,very interested,very interested,modest interest,modest interest,modest interest,needs this,needs this,needs this,really needs this,needs this,"Developer, back-end","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Finance,United States,"Elixir, Swift",,,Swift,,,,
6/14/2021 13:29:23,not used,not used,use frequently,not used,not used,not used,not used,not used,want to use a little,don’t want to use,want to use a lot,don’t want to use,don’t want to use,not heard of it,don’t want to use,not heard of it,"Web development, As an easy target for writing compilers.",very high impact,some impact,some impact,low impact,some impact,low impact,low impact,low impact,some impact,some impact,no interest,no interest,modest interest,modest interest,don’t know what it is :shrug:,don’t know what it is :shrug:,modest interest,very interested,really needs this,really needs this,needs this,needs this,really needs this,Computer Science student,Architecturing entire front-end codebases from scratch,"I’ve created advanced WebAssembly tooling (compilers, analyzers)",< 1 year,Not able to handle any back-end work,Unemployed,Croatia,"Yes, my programming language, called ArithmeticExpressionCompiler: http://flatassembler.github.io/AEC_specification",,,,,,,
6/14/2021 13:54:57,not used,use frequently,not used,not used,have used occasionally,have used occasionally,not used,use sometimes,don’t want to use,want to use a lot,want to use a little,don’t want to use,don’t want to use,don’t want to use,don’t want to use,want to use a little,Web development,very high impact,Don't know :shrug:,some impact,very high impact,very high impact,very high impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,very interested,no interest,very interested,very interested,very interested,very interested,very interested,modest interest,needs this,needs this,doesn’t need this,needs this,really needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",3 years,Able to handle complex multi-server or microservices architectures,Ecommerce & Retail,United States,,,,Elixir,not used,want to use a lot,,
6/14/2021 13:57:31,not used,use frequently,use sometimes,have used occasionally,have used occasionally,not used,not used,not used,want to use a little,want to use a lot,want to use a little,want to use a little,want to use a little,not heard of it,don’t want to use,not heard of it,"Internet of Things, Desktop apps",some impact,some impact,some impact,some impact,very high impact,very high impact,low impact,low impact,some impact,low impact,modest interest,modest interest,no interest,modest interest,very interested,very interested,modest interest,modest interest,needs this,needs this,really needs this,needs this,doesn’t need this,"Developer, full-stack","Writing short, simple JavaScript or jQuery statements","I’ve created advanced WebAssembly tooling (compilers, analyzers)",3 years,Able to handle complex multi-server or microservices architectures,Telecommunications,Japan,,,,,not used,don’t want to use,,
